,bat_id,pulse_id,distance_to_edge [cm],"flight_id (0:first, 1:last)"
768,MH,22,17,0
769,MH,22,54,0
770,MH,23,21,0
771,MH,23,20,0
772,MH,23,59,0
773,MH,24,24,0
774,MH,24,23,0
775,MH,24,61,0
776,MH,25,21,0
777,MH,26,19,0
778,MH,27,16,0
779,MH,27,17,0
780,MH,27,14,0
781,MH,27,63,0
782,MH,30,25,0
783,MH,31,6,0
784,MH,31,6,0
785,MH,31,6,0
786,MH,32,0,0
787,MH,33,0,0
788,MH,34,0,0
789,MH,35,1,0
