Bat ID,Corr coef,tau [ms],with pulse or echo,first or last
F,0.380687438,0,echo direction,last
F,0.412980342,10,echo direction,last
F,0.481277639,20,echo direction,last
F,0.545404364,30,echo direction,last
F,0.603038055,40,echo direction,last
F,0.652683559,50,echo direction,last
F,0.693781399,60,echo direction,last
F,0.726566588,70,echo direction,last
F,0.742703012,80,echo direction,last
F,0.770449613,90,echo direction,last
F,0.783567106,100,echo direction,last
F,0.792050227,110,echo direction,last
F,0.796656809,120,echo direction,last
F,0.797976944,130,echo direction,last
F,0.796447325,140,echo direction,last
F,0.792375591,150,echo direction,last
F,0.785966679,160,echo direction,last
F,0.777294219,170,echo direction,last
F,0.766553108,180,echo direction,last
F,0.753702522,190,echo direction,last
F,0.738752477,200,echo direction,last
F,0.721704407,210,echo direction,last
F,0.702562921,220,echo direction,last
F,0.681322608,230,echo direction,last
F,0.658094811,240,echo direction,last
F,0.632887272,250,echo direction,last
F,0.605821732,260,echo direction,last
F,0.577043753,270,echo direction,last
F,0.546741,280,echo direction,last
F,0.515143624,290,echo direction,last
F,0.482618454,300,echo direction,last
F,0.449312729,310,echo direction,last
F,0.415694743,320,echo direction,last
F,0.382019827,330,echo direction,last
F,0.34874248,340,echo direction,last
F,0.316262172,350,echo direction,last
F,0.285004778,360,echo direction,last
F,0.255403147,370,echo direction,last
F,0.227899328,380,echo direction,last
F,0.202944824,390,echo direction,last
F,0.181001842,400,echo direction,last
F,0.162688897,410,echo direction,last
F,0.148216694,420,echo direction,last
F,0.138208453,430,echo direction,last
F,0.133154556,440,echo direction,last
F,0.133520434,450,echo direction,last
F,0.139709749,460,echo direction,last
F,0.152191567,470,echo direction,last
F,0.17084222,480,echo direction,last
F,0.195399553,490,echo direction,last
F,0.225508289,500,echo direction,last
F,0.165379595,510,echo direction,last
F,0.040287236,520,echo direction,last
F,0.061758097,530,echo direction,last
F,-0.136035274,540,echo direction,last
F,-0.105488346,550,echo direction,last
F,-0.085433827,560,echo direction,last
F,-0.057473018,570,echo direction,last
F,-0.022113373,580,echo direction,last
F,-0.133885661,590,echo direction,last
F,-0.098843482,600,echo direction,last
G,0.269729584,-100,pulse direction,first
G,0.296100283,-90,pulse direction,first
G,0.322080527,-80,pulse direction,first
G,0.348064322,-70,pulse direction,first
G,0.373530334,-60,pulse direction,first
G,0.398437238,-50,pulse direction,first
G,0.424083385,-40,pulse direction,first
G,0.455581446,-30,pulse direction,first
G,0.470235457,-20,pulse direction,first
G,0.492539219,-10,pulse direction,first
G,0.513097571,0,pulse direction,first
G,0.533825861,10,pulse direction,first
G,0.554925784,20,pulse direction,first
G,0.574996572,30,pulse direction,first
G,0.59409196,40,pulse direction,first
G,0.613423844,50,pulse direction,first
G,0.629488995,60,pulse direction,first
G,0.646024123,70,pulse direction,first
G,0.661817158,80,pulse direction,first
G,0.676916918,90,pulse direction,first
G,0.691339217,100,pulse direction,first
G,0.705176016,110,pulse direction,first
G,0.718426273,120,pulse direction,first
G,0.731112147,130,pulse direction,first
G,0.743249532,140,pulse direction,first
G,0.754848483,150,pulse direction,first
G,0.765913666,160,pulse direction,first
G,0.776444833,170,pulse direction,first
G,0.78643729,180,pulse direction,first
G,0.795882345,190,pulse direction,first
G,0.804794455,200,pulse direction,first
G,0.813094896,210,pulse direction,first
G,0.820816765,220,pulse direction,first
G,0.827855438,230,pulse direction,first
G,0.834329718,240,pulse direction,first
G,0.840143323,250,pulse direction,first
G,0.845248392,260,pulse direction,first
G,0.849657494,270,pulse direction,first
G,0.853326799,280,pulse direction,first
G,0.8561807,290,pulse direction,first
G,0.856025616,300,pulse direction,first
G,0.859534945,310,pulse direction,first
G,0.859977632,320,pulse direction,first
G,0.859540786,330,pulse direction,first
G,0.858203596,340,pulse direction,first
G,0.855942516,350,pulse direction,first
G,0.852735715,360,pulse direction,first
G,0.849405303,370,pulse direction,first
G,0.843446386,380,pulse direction,first
G,0.837295412,390,pulse direction,first
G,0.830341407,400,pulse direction,first
G,0.822168404,410,pulse direction,first
G,0.81296838,420,pulse direction,first
G,0.802738027,430,pulse direction,first
G,0.791477387,440,pulse direction,first
G,0.77918994,450,pulse direction,first
G,0.765882663,460,pulse direction,first
G,0.751565744,470,pulse direction,first
G,0.736255334,480,pulse direction,first
G,0.719967421,490,pulse direction,first
G,0.702722903,500,pulse direction,first
G,0.681585246,510,pulse direction,first
G,0.665509808,520,pulse direction,first
G,0.704214887,530,pulse direction,first
G,0.675446715,540,pulse direction,first
G,0.674017469,550,pulse direction,first
G,0.654888,560,pulse direction,first
G,0.634925081,570,pulse direction,first
G,0.61414613,580,pulse direction,first
G,0.592570412,590,pulse direction,first
G,0.590419684,600,pulse direction,first
G,-0.698189576,-100,echo direction,first
G,-0.675298406,-90,echo direction,first
G,-0.643221933,-80,echo direction,first
G,-0.619782356,-70,echo direction,first
G,-0.594797574,-60,echo direction,first
G,-0.568547638,-50,echo direction,first
G,-0.534041152,-40,echo direction,first
G,-0.503731454,-30,echo direction,first
G,-0.482132457,-20,echo direction,first
G,-0.455427685,-10,echo direction,first
G,-0.428023086,0,echo direction,first
G,-0.399795928,10,echo direction,first
G,-0.369313166,20,echo direction,first
G,-0.33823649,30,echo direction,first
G,-0.306779296,40,echo direction,first
G,-0.277190879,50,echo direction,first
G,-0.243571731,60,echo direction,first
G,-0.211866067,70,echo direction,first
G,-0.180272647,80,echo direction,first
G,-0.148848043,90,echo direction,first
G,-0.117765956,100,echo direction,first
G,-0.08678063,110,echo direction,first
G,-0.056042915,120,echo direction,first
G,-0.025559948,130,echo direction,first
G,0.004666555,140,echo direction,first
G,0.034638445,150,echo direction,first
G,0.064359635,160,echo direction,first
G,0.093834916,170,echo direction,first
G,0.123069007,180,echo direction,first
G,0.152065822,190,echo direction,first
G,0.18072355,200,echo direction,first
G,0.209214572,210,echo direction,first
G,0.237513558,220,echo direction,first
G,0.265500708,230,echo direction,first
G,0.293315852,240,echo direction,first
G,0.320877008,250,echo direction,first
G,0.348161726,260,echo direction,first
G,0.375174246,270,echo direction,first
G,0.401890005,280,echo direction,first
G,0.42827883,290,echo direction,first
G,0.449049755,300,echo direction,first
G,0.480037296,310,echo direction,first
G,0.505347456,320,echo direction,first
G,0.530243914,330,echo direction,first
G,0.554692739,340,echo direction,first
G,0.57866196,350,echo direction,first
G,0.602118203,360,echo direction,first
G,0.627425709,370,echo direction,first
G,0.647276637,380,echo direction,first
G,0.668986078,390,echo direction,first
G,0.689819856,400,echo direction,first
G,0.710186482,410,echo direction,first
G,0.729826099,420,echo direction,first
G,0.74870304,430,echo direction,first
G,0.766782457,440,echo direction,first
G,0.784030614,450,echo direction,first
G,0.800415151,460,echo direction,first
G,0.815885915,470,echo direction,first
G,0.830451319,480,echo direction,first
